government,department_name,vote_number,is_vote_primary,intro,website_url
Western Cape,Agriculture,11,True,"## Vision

A united, responsive and prosperous agricultural sector in balance with nature.



## Mission

Unlock the full potential of agriculture (the value chain) to enhance the economic, ecological and social
wealth of all the people of the Western Cape through:

* Encouraging sound stakeholder engagements

* Promoting the production of affordable, nutritious, safe and accessible food, fibre and  agricultural products

* Ensuring sustainable management of natural resources

* Executing cutting edge and relevant research and technology development

* Developing, retaining and attracting skills and human capital

* Providing a competent and professional extension support service

* Enhancing market access for the entire agricultural sector

* Contributing towards alleviation of poverty and hunger

* Ensuring transparent and effective governance



## Main Services and Core functions

*Provide an engineering support service to enhance environmentally and economically  sustainable farming practices such as conservation agriculture, to prevent pollution through agricultural activities and to increase water use efficiency of all irrigation farmers.

* Provide sustainable resource management solutions and methodologies through the provision  of agricultural Engineering and Land Care services, pro-active communication, facilitation  and implementation of projects as well as technology transfer to clients and partners.

* Manage the verification, survey, planning, design and implementation of disaster relief to  farmers and provide the required technical support during the rehabilitation phase.

* Prevent the fragmentation of agricultural land by providing comments according to the applicable legislation to the relevant authority as to the recommended land use.

* Facilitate, coordinate and provide support to smallholder and commercial farmers through sustainable development within agrarian reform initiatives.

* Provide extension and advisory services to farmers.

* Support, advise and coordinate the implementation of the Integrated Food Security Strategy  of South Africa (IFSS).

* Prevent and control animal diseases, facilitate the exports of animals and animal  products, render veterinary diagnostic services, promote animal welfare and ensure the safety of meat and meat products through the implementation of, amongst others, the Meat Safety Act (Act 40 of 2000), the Animal Diseases Act (Act 35 of 1984) and other relevant legislation.

* Provide cutting-edge technology to commercial and smallholder farmers and other stakeholders through a client-focused and problem-driven research and technology development portfolio.

* Dissemination of appropriate new and adapted technology and scientific information in the  form of user-friendly information packages, scientific and popular publications, and  target-group focused information days and on-farm “walk and talks”.

* Provide research and infrastructure support services to the Department and other external  research institutions from seven research farms.

* Provide relevant and reliable agricultural statistics for informed decision-making.

* Provide macro and resource economics intelligence to inform planning and sound decision-  making.

* Provide production economics services to inform planning and business management in  support of optimal farming.

* Promote AgriBEE to ensure full participation by new entrepreneurs in the entire value  chain and the uptake of new opportunities by the established ones.

* Provide marketing and agri-business support services and intelligence to enhance  competiveness of the agricultural and agri-business sector including agri-processing.
Facilitate and provide structured and accredited agricultural education and training in line with the Agricultural Education and Training Strategy to all participants in the agricultural sector in order to establish a knowledgeable, prosperous and competitive sector.

* Promote and implement the Human Capital Development Strategy in the Department and the agricultural sector in the Western Cape in an effort to ensure organisational capacity development, as well as attract individuals to the agricultural sector as part of the broader transformation of the sector.

* Facilitate improved synergy and cooperation between training service providers and industry bodies, with focus on regional agricultural commodity groups and rural stakeholder bodies.

* Coordinate the actions of the three spheres of government in selected rural wards and institutionalise rural community organisational structures.

* Facilitate farm worker development through partnerships, funding and implementation of specific projects in farm worker communities.

",
Western Cape,Economic Development and Tourism,12,True,"## Vision

The Department’s vision is a Western Cape that has a vibrant, innovative, and sustainable economy,
characterised by growth, employment and increasing equity, and built on the full potential of all.



## Mission

To achieve the vision statement as noted above, the Department of Economic Development and Tourism
will provide qualitative leadership to the Western Cape economy through the Department’s understanding
of the economy, its ability to identify economic opportunities and potential, and its contribution to
government economic priorities.

The Department will also act as a catalyst for the transformation of the economy and respond to the
challenges and opportunities of its economic citizens, in order to support the government’s goal of creation
of opportunities for businesses and citizens to grow the economy and employment.

Lastly, it will contribute to the provision of a predictable, competitive, equitable and responsible
environment for investment, enterprise and trade.




## Main Services and Core functions

With the adoption of Strategic Goal 1: Create opportunities for growth and jobs and its subsequent
Strategic directive, the primary focus for Vote 12: Economic Development and Tourism is squarely placed on
delivering effectively on the provision of an enabling business environment which will allow for the private
sector to grow the economy and create jobs.

Furthermore, there is a national drive and commitment to create jobs. This is demonstrated by the numerous
incentives associated with National Government’s approach to economic stimulation policies, where the
emphasis has been placed on the creation of “real work opportunities”.

In this context, this Department, has emphasised a strategic approach that will be grounded in the need to:

* Create opportunities for growth;

* Increase work opportunities for all citizens;

* Creating an enabling environment for business and citizenry growth and development; and

* Creating a competitive and productive economic Province.",
Western Cape,Cultural Affairs and Sport,13,True,"## Vision

A socially inclusive, creative, active and connected Western Cape.



## Mission

We encourage excellence and inclusiveness in sport and culture through the effective, efficient and sustainable use of our resources, and through creative partnerships. In moving to excellence and making the Western Cape the sports and cultural centre of South Africa, we will create the conditions for access and mass participation, talent identification and skills development.



## Main services and core functions

Cultural Affairs and Sport is a tool that is used to assist with the building of a  socially inclusive Western Cape community. The Department’s four Programmes provide the following main services and core functions:

* Programme 1: Administration provides overall financial and strategic management and administrative support for the Department of Cultural Affairs and Sport.

* Programme 2: Cultural Affairs provides arts and culture, museum, heritage and language-related services to the inhabitants of the Western Cape.

* Programme 3: Library and Archive Services provides comprehensive library and archive services in the Western Cape.

* Provide library and information services and promote the culture of reading and lifelong learning in partnership with municipalities.

* Provides access to archival heritage and promotes proper management and care of public records.

* Programme 4: Sport and Recreation provides sport and recreation activities for the inhabitants of theWestern Cape and After School Programmes to low and no-fee schools.
",
Western Cape,Local Government,14,True,"## Vision

An efficient and dynamic team that enables well governed municipalities to deliver services to communities in a responsive, sustainable and integrated manner.



## Mission

To monitor, coordinate and support municipalities to be effective in fulfilling their developmental mandate, and facilitate service delivery and disaster resilience through engagement with government spheres and social partners.



## Main services and core functions

* To support municipalities with the development of legislation and legislative compliance;

* To intervene where there is non-fulfilment of legislative, executive and or financial  obligation;

* To support and strengthen the capacity of municipalities;

* To monitor and support local government;

* To regulate the performance of municipalities in terms of their functions listed in

* Schedules 4 and 5 of the Constitution;

* To increase the number of people with access to government services & opportunities;

* To promote developmental local government; and

* To coordinate effective disaster management in the Province.

Main services

* Guide, advise on the development and support local government legislation.

* Formulate appropriate provincial legislation on local government.

* Review and advise on all aspects of municipal Integrated Development Plans (IDPs).

* Co-ordinate provincial disaster management.

* Monitor and evaluate municipal performance.

* Support municipalities to strengthen public participation through effective communication between municipalities and communities.

* Support municipalities through capacity building and training initiatives.

* Implement and maintain intergovernmental structures for good governance, co-operation and
co-ordination.

* Promote developmental local government.

* Facilitate access to government services.

* Facilitate and monitor infrastructure development.
",
Northern Cape,Office of the Premier,1,True,"## Vision

A prosperous province with a quality of life for all.



## Mission Statement

Improving government’s performance through strategic leadership and integrated planning, monitoring and evaluation.



## Core services

The core work of the Office of the Premier is to ensure the general improvement of efficiency and effectiveness of governance within the office and throughout the provincial government system.",
Northern Cape,Provincial Legislature,2,True,"## Vision

An activist Legislature advancing the aspirations of the people of the Northern Cape.



## Mission

To serve people of the Northern Cape by building a developmental institution for effective law making, public participation, accountability and oversight over the executive and municipalities



## Core Services

*The Northern Cape Provincial Legislature (NCPL) exists in terms of section 104 of the Constitution of the Republic of South Africa, Act 108 of 1996 which vests the legislative authority of the Northern Cape Province in the NCPL. In addition to the legislative authority, Provincial Legislature also has a constitutional mandate of oversight over the provincial executive as well as a responsibility to ensure public participation in its processes.

*An effective Legislature is strongly correlated with the existence of a viable democracy and an open society. The Northern Cape Provincial Legislature on account of its members and legislative functions can empower ordinary citizens to participate in the development of policies that shape their lives. Due to its oversight role, the NCPL is fundamental in establishing the rule of law, protecting human rights, overseeing transparent governance processes and ensuring compliance with national and provincial legislation in the Northern Cape.

*These functions, though universally recognised are not always naturally or effectively implemented without sufficient human and financial resources. With its budget the NCPL is able to develop programmes geared at its own development. These programmes are aimed at strengthening representatives, transparency, accountability and effective government",
Northern Cape,"Transport, Safety and Liaison",3,True,"## Vision

A leader in the creation and co-ordination of safe, secure and sustainable transport and policing sytems for a crime-free Northern Cape Province.



## Mission

To enable safe and secure environment and mobility, for the community of the Northern Cape, through:

* Good corporate governance, management, administration and support;

* Establishing and supporting community safety partnerships;

* Monitoring and oversight of the police;

* Facilitating and coordinating social crime prevention and road safety programmes;

* Educating, enforcing and administering road traffic legislation; Liaison with all relevant stakeholders, role-players and clients, pertaining policing, safety and security;

* Regulated and integrated transport modes which are economically and environmentally���. sustainable.



## Core services

To promote subsidies transportation for the community as well as ensuring safety on our roads users through effective traffic law enforcement and effectively overseeing the functions of the South African police services (SAPS).

",
Northern Cape,Education,4,True,"## Vision

A transformed quality education system.



## Mission

To deliver quality public education to all learners of the Northern Cape which will enable them to play a meaningful role in a dynamic, developmental and economic society.



## Core functions

*Public Ordinary Schools is aimed at the provision of educators in schools, the development of educators to ensure that they are equipped to provide the best quality teaching and the provision of Learner Teacher Support Materials (LTSM). The function is also aimed at the provisioning of food to Public Ordinary School learners through the National school Nutrition Programme (NSNP).

* Public Special Schools Education includes the provision of schooling to all learners with special educational needs in special schools and full-service schools.

* Early Childhood Development is the provision of Grade R in state, private and community centres. The programme also seeks to provide ECD programmes for pre-Grade R learners.

* Infrastructure Development includes the provision of new schools and other school facilities

",
Northern Cape,Roads and Public Works,5,True,"## Vision

Trendsetters in infrastructure delivery to change the economic landscape of the Province.



## Mission

To provide and maintain all provincial land, buildings and road infrastructure in an integrated and sustainable manner.

The mission will be promoted through mission statements per programme which are as follow:

* To promote and support good governance in the department;

* Meet the accommodation and other specific needs of provincial departments;

* Provide and maintain integrated road infrastructure that is safe and functional to support social and economic development; and



## Core functions

Road Construction, Maintenance and Repairs – The construction of new roads, maintenance of existing roads and the repair of damaged roads and related structures;

* Strategic planning and development - The development of integrated provincial transport and development plans, as well as departmental policies and procedures;

* Public Works - Provide and maintain functional and accessible buildings, facilities management services and office accommodation according to the identified needs of provincial departments through planning, design and maintenance of safe and cost effective projects and buildings; and

* Community based programme – The intervention in the infrastructure sector involves increasing the labour intensity of government-funded infrastructure projects.
",
Northern Cape,Economic Development and Tourism,6,True,"## Vision

A radically transformed economy in the Northern Cape.



## Mission

Accelerating the economic growth and development of the Northern Cape Province through diversification, empowerment, employment, business creation and sustainable development.



## Core functions

The department’s core functions are summarised as follows:

* To provide leadership, strategic management in accordance with government legislation, regulations and policies.

* To ensure an effective and compliant department that will provide technical support and economic policy advice to the Northern Cape Province.

* To promote, support and facilitate integrated economic development through shared partnerships in the province.

* To accelerate economic growth by facilitating export from and investment into the province while simultaneously promoting economic diversification and industrial expansion.

* To stimulate economic development through industry development and trade and investment promotion.

* To regulate business practices and ensure compliance with relevant legislation whilst optimizing revenue collection and monitoring departmental agencies.

* To support the development of measurable economic policies, strategies and plans informed by relative economic research so that they are in alignment with the NSDP, Northern Cape Provincial Growth and Development Strategy and IDP’s with the aim of halving unemployment and achieving an average annual economic growth of 4-6 per cent.

* To ensure an equitable, socially responsible business environment that allows for predictability.

* To manage the development and promotion of the Northern Cape as a competitive tourist destination",
Northern Cape,"Sport, Arts and Culture",7,True,"## Vision

A department committed to creating a prosperous and empowered province united in the advancement of its sport, heritage, arts and culture.



## Mission

To serve all the people of the Northern Cape by promoting, protecting and developing sport and the diverse cultures of our province and at the same time are the catalysts in the development programmes, economic empowerment and other activities, thereby entrenching national building and social cohesion.



## Core functions

To promote, develop and transform arts and culture, museums heritage, language, library, information and archives services in order to contribute to sustainable economic growth and opportunities, nation building, good governance, social cohesion and human capital development.

To improve the quality of life of all the people of the Northern Cape through the development, transformation and promotion of sustainable sport and recreation programmes that will lead to increased participation and global competitiveness in sport.

Main Services

* To promote respect for cultural diversity and the advancement of artistic disciplines into viable industries.

* To accelerate the transformation of the country’s heritage landscape by establishing and managing museum and heritage services.

* To promote multilingualism, redress past linguistic imbalances and develop the previously marginalised languages.

* To provide library and information services.

* To render archival and records management services.

* To establish and support transformed institutional structures and identify, develop and nurture athletes to increase participation and excellence in sport.

* To provide sustainable mass participation opportunities across the age spectrum to promote physically active lifestyles.

* To ensure active participation, development and training of all learners and educators and the identification of talent in quality and sustainable sport and recreation programmes.
",
Northern Cape,Provincial Treasury,8,True,"## Vision

To be the heartbeat of sound financial management that supports economic growth and development.



## Mission

We strive to promote sound fiscal policy that enables financial sustainability and support economic development.



## Core Function and Responsibilities

The core functions and responsibilities of a Provincial Treasury are outlined in the Public Finance Management Act and the Municipalities Finance Management Act, and amongst others, entail the following:

* The preparation of the provincial annual and adjustment budgets;

* Exercising control over the implementation of the provincial departmental budgets;

* Monitoring local government budgets processes;

* Supporting and building capacity in local governments, which includes the coordination of the implementation of the MFMA;

* Ensuring compliance with the annual Division of Revenue Act;

* Promoting and enforcing transparency and effective management of revenue, expenditure, assets and liabilities of the provincial departments and public entities;

* Assisting provincial departments and public entities in their respective capacity building efforts for effective, efficient and transparent financial management by providing assistance with implementation and maintenance of financial systems, PERSAL, LOGIS and BAS;

* Ensure compliance to Supply Chain Management (SCM) best practices;

* Coordinating and monitoring activities of risk management in the province;

* Investigating any systems of financial management and internal controls to be applied by the provincial departments or public entities to enhance effective and efficient financial management;

* Issuing provincial treasury instructions; and

* Preparing consolidated financial statements for the province.",
Northern Cape,"Cooperative Governance, Human Settlement and Traditional Affairs",9,True,"## Vision

People of the Northern Cape living in integrated human settlements, with responsive, accountable and highly effective municipalities and traditional institutions.



## Mission

To facilitate and manage integrated sustainable human settlements and infrastructure development for effective service delivery.

* To facilitate, monitor and support the consolidation and sustainability phases at municipalities for integrated, sustainable service delivery.

* To promote and support inter-sphere engagement for integrated planning and coordination.

* To facilitate, develop and support systems and structure to enhance traditional leadership.

* To ensure the efficient, effective and economic utilization of departmental resources to maximise service delivery



## Core functions

To promote and facilitate sustainable integrated human settlements and infrastructure development for effective housing delivery and planning.

* Strengthening municipalities through capacity building and the accreditation process to fast track housing delivery;

* Manage disaster management at provincial and local level;

* Facilitate cooperative governance, with respect to the alignment of local and provincial development planning;

* To promote, monitor and support integrated development and planning;

* To facilitate, monitor and support sustainable governance and accountability

",
Northern Cape,Health,10,True,"## Vision

Health service excellence for all.



## Mission

Working together, we are committed to provide quality health care services and promote a healthy society. Our caring, multi- skilled professionals will integrate comprehensive services using evidence-based strategies and partnerships to maximise efficiencies for the benefit of all.



## Core functions

The department’s core function is the provision of health care, which focuses mainly on the District Health System, based on the Primary Health Care approach. Health care services are provided at a primary, secondary and tertiary level.",
Northern Cape,Social Development,11,True,"## Vision

A caring and self-reliant society.



## Mission

To transform our society by building conscious and capable citizens through the provision of integrated social development services.



## Core functions

Department of Social Development (DSD) has the responsibility of leading in partnership with stakeholder’s outcome 13, by building an inclusive and responsive social protection system. As prescribed in the long-term vision of the National Development Plan (NDP) 2030, the social protection system has the ability to assist families to achieve the basic standard of living and making sure that no one slips below the minimum standard of living.
In this regard, the department has identified in accordance with the NDP 2030 a targeted number of 13 334 zero income households to be migrated out of poverty over the next five years. The services provided by the department are statutory services, counseling services, therapeutic services, treatment services, after care services and institutionalized services such as support groups with children and parents.

The implementation and outcome of the service delivery goals are guided by the mandate of the department namely:

* To build an inclusive and responsive social protection system.

* To reform social welfare services as outlined in the Medium Term Strategic Framework 2014-2019,

* To provide access to quality Early Childhood Development (ECD) services and strengthen community development interventions as the three sub-outcomes to be achieved through expanding service provision to the vulnerable groups, whilst creating support networks through service provision to respond to the needs of each vulnerable group e.g. people with disabilities, older persons, zero income families or children living and working on the street.

The nature of the services rendered by the Department of Social Development in complementing partnership with stakeholders to various vulnerable groups, requires a service delivery methodology that advocate for teamwork amongst the range of social service professionals within a community to create therapeutic support networks at family level, social protection support networks at soup kitchen, Drop-in- Centre at community level and developmental support networks at Youth Service Centre level for the youth.
",
Northern Cape,"Agriculture, Land Reform and Rural Development",12,True,"## Core functions and responsibilities of the department

* Coordinate and facilitate rural development programmes that contribute to vibrant, equitable and sustainable rural communities;
* Provision of comprehensive post settlement support to land reform beneficiaries;
* Ensure food security for all by increasing agricultural production; providing technical support for development of farmers and communities;
* Establishing markets in rural areas;
* Establish agricultural cooperatives throughout the value-chain;
* Development and implementation of the sector job creation plan;
* Promoting sustainable use and management of natural resources;
* To provide veterinary services which promote sustainable economic growth through export and import and ensure the health and welfare of people and animals in the Northern Cape;
* To ensure the competitive capacity of its clients, through the timely provision of progressive technologies and information with regard to crop production, animal production and resource utilisation; and
* To provide economic support to internal and external clients with regard to marketing, statistical information including financial feasibility and economic viability studies

## Vision

A transformed, vibrant agricultural sector for food security and sustainable rural development.

## Mission

The Department as a lead agent in the sector, will champion land and agrarian transformation, promote and facilitate increased production and provide expertise for improved livelihoods, sustainable rural development and food security for all.",
Northern Cape,Environment and Nature Conservation,13,True,"## Vision

A prosperous society living sustainably with the natural environment.



## Mission

Conserve and protect the natural environment for the benefit, enjoyment and welfare of present and future generations by integrating sustainable utilization with socio-economic development.



## Core functions

* Environmental assets conserved, valued, sustainably used, protected and continually enhanced; 

* Enhanced socio-economic benefits and employment creation for the present and future generations from a healthy environment;

* A department that is fully capacitated to deliver its services efficiently and effectively; 

* Environmental education provide to stimulate critical thinking and influence decision making;

* Ensure sustainable development and utilisation of natural resources while securing representative and resilient ecosystems through scientific research, spatial planning and cooperative governance;

* To promote and enforce compliance with environmental legislation",
North West,Office of the Premier,1,True,"## Vision

The vision of Office of the Premier is “A united, non-racial, non-sexist, democratic and prosperous citizenry in the Province”.



## Mission

The mission of Office of the Premier is to work with partners in order to:

* Improve government performance in achieving the desired outcomes;

* Improve service delivery through changing the way government works; and

* Rebrand, Reposition and Renew Bokone Bophirima Province through the five concretes namely; Agriculture, Culture and Tourism (ACT), Villages, Townships and Small Dorpies (VTSD), Reconciliation, Healing and Renewal (RHR), Setsokotsane, as well as Saamtrek-Saamwerk Philosophy.



## Core Functions

In order to ensure alignment with national and provincial priorities and address the weaknesses identified in service delivery, the role of Office of the Premier have been identified as follows:

* To render administrative and secretarial support to the Executive Council structures;

* Formulation and review of Provincial policies; and

* To coordinate Provincial planning and knowledge management",
North West,Provincial Legislature,2,True,"## Vision

To Foster Lawmaking, Oversight and Public Participation Processes through robust debates to instil Public Pride and Confidence in Democracy.



## Mission

The North West Provincial Legislature has, in its quest to attain its vision, adopted the following dynamic principles and activities as its mission:

* To reflect the values and aspirations of the people of the North West.

* To promote Public Participation, Accessibility, Transparency and Accountability.

* To be a caring, robust, responsive and activist Legislature.

* To develop capacity and skills of both Members and staff.

* To hold the Executive accountable.

* To maintain a skilled, well-motivated, well led and managed administration.



## Core functions

In order to achieve the above strategic goals, the North West Provincial Legislature (NWPL) is responsible for carrying out the following core functions:

* To make laws for the province. Essentially, this means that the North West Provincial Legislature has a duty to improve the quality of life for the people of North West Province by creating laws that are just and responsive to the people’s needs.

* To provide support to Committees and the Institution by ensuring public participation in all its programmes.

* To oversee the provincial government – it is the North West Provincial Legislature’s duty to ensure that the government of North West uses its authority in a responsible manner, and that it implements the province’s legislation in the best interest of the people of this province.
",
North West,Health,3,True,"## Vision

Healthy self-reliant communities in the North West Province



## Mission

To render accessible, equitable and integrated quality health care services.



## Core functions

In rendering such services, we shall observe values contained in the following:

* Batho Pele Principles

* Patients' Rights Charter

* Victims’ Rights Charter

* Children’s Rights Charter

* Disability Rights Charter

* Older Persons Pledge

* Public Service Principles

* Accountability and Transparency

* Community participation

* Excellence

* Caring

* Access, human dignity and respect",
North West,"Culture, Arts and Traditional Affairs",4,True,"## Vision

A united, non-racial, non-sexist, democratic and prosperous Province of Bokone Bophirima as expressed in the Constitution of the Republic of South Africa and National Development Plan.



## Mission

To enhance job creation by preserving, protecting and developing arts, culture, heritage and the institutions of traditional leadership to Rebrand, Reposition and Renew the Province of Bokone Bophirima through the five concretes.



## Core functions

* To render an effective, efficient, equitable corporate and management support service to internal and external stakeholders to ensure good, clean and value driven corporate governance through Human Resource, Finance, Communication and Strategic Management services.

* The promotion, development and transformation of all cultural activities in Bokone Bophirima, in order to contribute towards nation-building, good governance, social and human capital development, and sustainable economic growth and opportunities

* Provide library, information and archive services that will contribute to: Nation Building, Good governance, human capital development, and sustainable economic growth and opportunities

* To provide support to the institutions of traditional leadership through workshops and grants so as to contribute to a transformed, functional, accountable and sustainable institution of traditional leadership
",
