government,department_name,vote_number,is_vote_primary,intro,website_url
Free State,Free State Legislature,2,True,"## Mandate

Section 10 (1) of the Constitution provides that: “The legislative authority of a province is vested in its provincial legislature.  Section 114(1) and (2) of the Constitution provide further for the powers of a Provincial Legislature to include; (a) the consideration, passing, amendment or rejection of bills; (b) to initiate or prepare legislation, except money bills; (c) to ensure that all provincial executive organs of state in the province are accountable to it and (d) to maintain oversight of the exercise of provincial executive authority in the province, including the implementation of legislation and any provincial organ of state.
In addition to its constitutional mandate and obligations, the general and specific powers of the Legislature are set out in Rules 127 to 130 of the Standing Rules and Orders.
The Legislature has developed a range of policies pertaining to elected representatives, political parties, staff and various institutional practices in order to guide and regulate the daily implementation of services and projects.  In respect of such policies, the review highlighted the need to ensure that existing shortcomings and weaknesses are identified and that key legislation and good governance principles, are incorporated into the existing policy framework. 
The provincial strategic outcomes developed by the Executive are the key points of departure that define the priorities for the province.  Within this framework, the Legislature has to engage with and identify whether there are any gaps or whether enabling policy is required to support the achievement of provincial goals. The Legislature, also has to prioritise how it will meaningfully perform oversight to ensure delivery against the stated strategies.  

## Vision

The vision of the Free State Legislature is in line with its mandate as derived from the Constitution of the Republic of South Africa (Act 108 of 1996). The vision encapsulates the core principles of the Legislature as follows; “An Activist Legislature that Champions Democracy”.

## Mission

To promote good governance and a culture of human rights through oversight, law-making and public participation. 

",
Free State,"Economic And Small Business Development, Tourism And Environmental Affairs",3,True,"## Mandate


There are several legislations and policies that the Department has to operate within as it conducts its mandate. Below is the main legislation the Department has to comply to:

 * Tourism second amendment Act, 2000 (Act No.70 of 2000)
 * National Environmental Management Act No. 107 of 1998, as amended
 * Environment Conservation Act No. 73 of 1989, as amended
 * National Environmental Management: Air Quality Management Act No. 39 of 2004
 * NEM: Biodiversity Act, 2004 (Act No.10 of 2004)
 * NEM: Protected Areas Act, 2003 (Act No. 57 of 2003)
 * The Free State Nature Conservation Ordinance,1969 (Ord. No.8 of 1969)
 * Environment Conservation Act of 1989, as amended.
 * World Heritage Conservation Act, 1999
 * Conservation of Agricultural Resources Act, 1983 (Act No. 43 of 1983)
 * Animal Protection Act, 1962 (Act No. 71 of 1962)
 * National Forest Act, 1998 (Act No. 84 of 1998)
 * Veld and Forest Fire Act, 1998 (Act No. 101 of 1998)
 * Game Theft Act, 1991 (Act No. 105 of 1991)
 * National Heritage Resources, 1999 ( Act No. 25 of 1999)
 * National Water Act, 1998 (Act No. 36 of 1998)
 * Co-operative Act, 2005 (Act No 14. of  2005)

## Vision

A transformed economy and a prosperous society that is living in harmony with its natural resources through integrated and sustainable economic growth.

## Mission

Radically create a conducive, enabling environment for the creation of decent jobs, poverty and inequality reduction through sustainably managed environment and economic development programmes in the Free State

",
Free State,Provincial Treasury,4,True,,
Free State,Health,5,True,,
Free State,Education,6,True,,
Free State,Social Development,7,True,,
Free State,Cooperative Governance And Traditional Affairs,8,True,,
Free State,Public Works And Infrastructure,9,True,,
Free State,"Police, Roads And Transport",10,True,,
Free State,Agriculture And Rural Development,11,True,,
Free State,"Sport, Arts, Culture And Recreation",12,True,,
Free State,Human Settlements,13,True,,
Eastern Cape,Office Of The Premier,1,True,,
Eastern Cape,Provincial Legislature,2,True,,
Eastern Cape,Health,3,True,,
Eastern Cape,Social Development,4,True,,
Eastern Cape,Roads And Public Works,5,True,,
Eastern Cape,Education,6,True,,
Eastern Cape,Cooperative Governance And Traditional Affairs,7,True,,
Eastern Cape,Rural Development And Agrarian Reform,8,True,,
Eastern Cape,"Economic Development, Environmental Affairs And Tourism",9,True,,
Eastern Cape,Transport,10,True,,
Eastern Cape,Human Settlements,11,True,,
Eastern Cape,Provincial Treasury,12,True,,
Eastern Cape,"Sport, Recreation, Arts And Culture",14,True,,
Eastern Cape,Safety And Liaison,15,True,,
