administration_type,government_institution,sector,project_name,project_description,gps_code,nature_of_investment,infrastructure_type,current_project_stage,sip_category,total_project_cost,br_featured,featured,financial_year,budget_phase,amount,project_slug
National,Health,Social Services,Free State:  Dihlabeng hospital,Upgrades and maintenance of hospital,"-28.23317, 28.3197",Maintenance and Upgrades,District and regional hospitals,Construction,SIP 12: Revitalisation of public hospitals and other health facilities,312313000,BR 2019,TRUE,2019,MTEF,55000000,health-free-state-dihlabeng-hospital
National,Health,Social Services,Free State:  Dihlabeng hospital,Upgrades and maintenance of hospital,"-28.23317, 28.3197",Maintenance and Upgrades,District and regional hospitals,Construction,SIP 12: Revitalisation of public hospitals and other health facilities,312313000,BR 2019,TRUE,2020,MTEF,40000000,health-free-state-dihlabeng-hospital
National,Health,Social Services,Free State:  Dihlabeng hospital,Upgrades and maintenance of hospital,"-28.23317, 28.3197",Maintenance and Upgrades,District and regional hospitals,Construction,SIP 12: Revitalisation of public hospitals and other health facilities,312313000,BR 2019,TRUE,2021,MTEF,26000000,health-free-state-dihlabeng-hospital
National,Health,Social Services,Free State: Lusaka community health centre,Replacement of community health centre,"-28.41668, 26.69797",New infrastructure assets,Community health Centre,Design,SIP 12: Revitalisation of public hospitals and other health facilities,250000000,BR 2019,TRUE,2015,Audited Outcome,935000,health-free-state-lusaka-community-health-centre
National,Health,Social Services,Free State: Lusaka community health centre,Replacement of community health centre,"-28.41668, 26.69797",New infrastructure assets,Community health Centre,Design,SIP 12: Revitalisation of public hospitals and other health facilities,250000000,BR 2019,TRUE,2016,Audited Outcome,663000,health-free-state-lusaka-community-health-centre
National,Health,Social Services,Free State: Lusaka community health centre,Replacement of community health centre,"-28.41668, 26.69797",New infrastructure assets,Community health Centre,Design,SIP 12: Revitalisation of public hospitals and other health facilities,250000000,BR 2019,TRUE,2017,Audited Outcome,2434000,health-free-state-lusaka-community-health-centre
National,Health,Social Services,Free State: Lusaka community health centre,Replacement of community health centre,"-28.41668, 26.69797",New infrastructure assets,Community health Centre,Design,SIP 12: Revitalisation of public hospitals and other health facilities,250000000,BR 2019,TRUE,2018,Adjusted Appropriation,1702000,health-free-state-lusaka-community-health-centre
National,Health,Social Services,Free State: Lusaka community health centre,Replacement of community health centre,"-28.41668, 26.69797",New infrastructure assets,Community health Centre,Design,SIP 12: Revitalisation of public hospitals and other health facilities,250000000,BR 2019,TRUE,2019,MTEF,33784000,health-free-state-lusaka-community-health-centre
National,Health,Social Services,Free State: Lusaka community health centre,Replacement of community health centre,"-28.41668, 26.69797",New infrastructure assets,Community health Centre,Design,SIP 12: Revitalisation of public hospitals and other health facilities,250000000,BR 2019,TRUE,2020,MTEF,34477000,health-free-state-lusaka-community-health-centre
National,Health,Social Services,Free State: Lusaka community health centre,Replacement of community health centre,"-28.41668, 26.69797",New infrastructure assets,Community health Centre,Design,SIP 12: Revitalisation of public hospitals and other health facilities,250000000,BR 2019,TRUE,2021,MTEF,22837000,health-free-state-lusaka-community-health-centre
National,Health,Social Services,Limpopo:  Academic hospital,Construction of new hospital,"-23.91781, 29.479913",New infrastructure assets,Tertiary hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,3963000000,BR 2019,TRUE,2015,Audited Outcome,0,health-limpopo-academic-hospital
National,Health,Social Services,Limpopo:  Academic hospital,Construction of new hospital,"-23.91781, 29.479913",New infrastructure assets,Tertiary hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,3963000000,BR 2019,TRUE,2016,Audited Outcome,14941000,health-limpopo-academic-hospital
National,Health,Social Services,Limpopo:  Academic hospital,Construction of new hospital,"-23.91781, 29.479913",New infrastructure assets,Tertiary hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,3963000000,BR 2019,TRUE,2017,Audited Outcome,7466000,health-limpopo-academic-hospital
National,Health,Social Services,Limpopo:  Academic hospital,Construction of new hospital,"-23.91781, 29.479913",New infrastructure assets,Tertiary hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,3963000000,BR 2019,TRUE,2018,Adjusted Appropriation,190059000,health-limpopo-academic-hospital
National,Health,Social Services,Limpopo:  Academic hospital,Construction of new hospital,"-23.91781, 29.479913",New infrastructure assets,Tertiary hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,3963000000,BR 2019,TRUE,2019,MTEF,247000000,health-limpopo-academic-hospital
National,Health,Social Services,Limpopo:  Academic hospital,Construction of new hospital,"-23.91781, 29.479913",New infrastructure assets,Tertiary hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,3963000000,BR 2019,TRUE,2020,MTEF,653000000,health-limpopo-academic-hospital
National,Health,Social Services,Limpopo:  Academic hospital,Construction of new hospital,"-23.91781, 29.479913",New infrastructure assets,Tertiary hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,3963000000,BR 2019,TRUE,2021,MTEF,498000000,health-limpopo-academic-hospital
National,Health,Social Services,Limpopo: Chebeng community health centre,Replacement of community health centre,"-23.8157864, 29.2702404",New infrastructure assets,Community health Centre,Tender,SIP 12: Revitalisation of public hospitals and other health facilities,219646000,BR 2019,TRUE,2015,Audited Outcome,959000,health-limpopo-chebeng-community-health-centre
National,Health,Social Services,Limpopo: Chebeng community health centre,Replacement of community health centre,"-23.8157864, 29.2702404",New infrastructure assets,Community health Centre,Tender,SIP 12: Revitalisation of public hospitals and other health facilities,219646000,BR 2019,TRUE,2016,Audited Outcome,642000,health-limpopo-chebeng-community-health-centre
National,Health,Social Services,Limpopo: Chebeng community health centre,Replacement of community health centre,"-23.8157864, 29.2702404",New infrastructure assets,Community health Centre,Tender,SIP 12: Revitalisation of public hospitals and other health facilities,219646000,BR 2019,TRUE,2017,Audited Outcome,3837000,health-limpopo-chebeng-community-health-centre
National,Health,Social Services,Limpopo: Chebeng community health centre,Replacement of community health centre,"-23.8157864, 29.2702404",New infrastructure assets,Community health Centre,Tender,SIP 12: Revitalisation of public hospitals and other health facilities,219646000,BR 2019,TRUE,2018,Adjusted Appropriation,4000000,health-limpopo-chebeng-community-health-centre
National,Health,Social Services,Limpopo: Chebeng community health centre,Replacement of community health centre,"-23.8157864, 29.2702404",New infrastructure assets,Community health Centre,Tender,SIP 12: Revitalisation of public hospitals and other health facilities,219646000,BR 2019,TRUE,2019,MTEF,9041000,health-limpopo-chebeng-community-health-centre
National,Health,Social Services,Limpopo: Chebeng community health centre,Replacement of community health centre,"-23.8157864, 29.2702404",New infrastructure assets,Community health Centre,Tender,SIP 12: Revitalisation of public hospitals and other health facilities,219646000,BR 2019,TRUE,2020,MTEF,55041000,health-limpopo-chebeng-community-health-centre
National,Health,Social Services,Limpopo: Chebeng community health centre,Replacement of community health centre,"-23.8157864, 29.2702404",New infrastructure assets,Community health Centre,Tender,SIP 12: Revitalisation of public hospitals and other health facilities,219646000,BR 2019,TRUE,2021,MTEF,40000000,health-limpopo-chebeng-community-health-centre
National,Health,Social Services,Mpumalanga: Balfour community health centre (24-hour mini-hospital),Replacement of community health centre,"-26.6466909, 28.6043845",New infrastructure assets,Community health Centre,Design,SIP 12: Revitalisation of public hospitals and other health facilities,299123000,BR 2019,TRUE,2015,Audited Outcome,432000,health-mpumalanga-balfour-community-health-centre-24-hour-mini-hospital
National,Health,Social Services,Mpumalanga: Balfour community health centre (24-hour mini-hospital),Replacement of community health centre,"-26.6466909, 28.6043845",New infrastructure assets,Community health Centre,Design,SIP 12: Revitalisation of public hospitals and other health facilities,299123000,BR 2019,TRUE,2016,Audited Outcome,190000,health-mpumalanga-balfour-community-health-centre-24-hour-mini-hospital
National,Health,Social Services,Mpumalanga: Balfour community health centre (24-hour mini-hospital),Replacement of community health centre,"-26.6466909, 28.6043845",New infrastructure assets,Community health Centre,Design,SIP 12: Revitalisation of public hospitals and other health facilities,299123000,BR 2019,TRUE,2017,Audited Outcome,342000,health-mpumalanga-balfour-community-health-centre-24-hour-mini-hospital
National,Health,Social Services,Mpumalanga: Balfour community health centre (24-hour mini-hospital),Replacement of community health centre,"-26.6466909, 28.6043845",New infrastructure assets,Community health Centre,Design,SIP 12: Revitalisation of public hospitals and other health facilities,299123000,BR 2019,TRUE,2018,Adjusted Appropriation,1500000,health-mpumalanga-balfour-community-health-centre-24-hour-mini-hospital
National,Health,Social Services,Mpumalanga: Balfour community health centre (24-hour mini-hospital),Replacement of community health centre,"-26.6466909, 28.6043845",New infrastructure assets,Community health Centre,Design,SIP 12: Revitalisation of public hospitals and other health facilities,299123000,BR 2019,TRUE,2019,MTEF,20000000,health-mpumalanga-balfour-community-health-centre-24-hour-mini-hospital
National,Health,Social Services,Mpumalanga: Balfour community health centre (24-hour mini-hospital),Replacement of community health centre,"-26.6466909, 28.6043845",New infrastructure assets,Community health Centre,Design,SIP 12: Revitalisation of public hospitals and other health facilities,299123000,BR 2019,TRUE,2020,MTEF,31000000,health-mpumalanga-balfour-community-health-centre-24-hour-mini-hospital
National,Health,Social Services,Mpumalanga: Balfour community health centre (24-hour mini-hospital),Replacement of community health centre,"-26.6466909, 28.6043845",New infrastructure assets,Community health Centre,Design,SIP 12: Revitalisation of public hospitals and other health facilities,299123000,BR 2019,TRUE,2021,MTEF,60000000,health-mpumalanga-balfour-community-health-centre-24-hour-mini-hospital
National,Health,Social Services,"Non-capital infrastructure projects, including maintenance (national health insurance facilities)","Maintenance, provision of provincial management support units and project management information systems, conditional assessments of facilities in national health insurance scheme pilot districts, in loco supervision, monitoring of 10-year health infrastructure",Various,Maintenance and repair,Various,Ongoing,SIP 12: Revitalisation of public hospitals and other health facilities,684500000,BR 2019,TRUE,2015,Audited Outcome,205419000,health-non-capital-infrastructure-projects-including-maintenance-national-health-insurance-facilities
National,Health,Social Services,"Non-capital infrastructure projects, including maintenance (national health insurance facilities)","Maintenance, provision of provincial management support units and project management information systems, conditional assessments of facilities in national health insurance scheme pilot districts, in loco supervision, monitoring of 10-year health infrastructure",Various,Maintenance and repair,Various,Ongoing,SIP 12: Revitalisation of public hospitals and other health facilities,684500000,BR 2019,TRUE,2016,Audited Outcome,105376000,health-non-capital-infrastructure-projects-including-maintenance-national-health-insurance-facilities
National,Health,Social Services,"Non-capital infrastructure projects, including maintenance (national health insurance facilities)","Maintenance, provision of provincial management support units and project management information systems, conditional assessments of facilities in national health insurance scheme pilot districts, in loco supervision, monitoring of 10-year health infrastructure",Various,Maintenance and repair,Various,Ongoing,SIP 12: Revitalisation of public hospitals and other health facilities,684500000,BR 2019,TRUE,2017,Audited Outcome,81832000,health-non-capital-infrastructure-projects-including-maintenance-national-health-insurance-facilities
National,Health,Social Services,"Non-capital infrastructure projects, including maintenance (national health insurance facilities)","Maintenance, provision of provincial management support units and project management information systems, conditional assessments of facilities in national health insurance scheme pilot districts, in loco supervision, monitoring of 10-year health infrastructure",Various,Maintenance and repair,Various,Ongoing,SIP 12: Revitalisation of public hospitals and other health facilities,684500000,BR 2019,TRUE,2018,Adjusted Appropriation,70000000,health-non-capital-infrastructure-projects-including-maintenance-national-health-insurance-facilities
National,Health,Social Services,"Non-capital infrastructure projects, including maintenance (national health insurance facilities)","Maintenance, provision of provincial management support units and project management information systems, conditional assessments of facilities in national health insurance scheme pilot districts, in loco supervision, monitoring of 10-year health infrastructure",Various,Maintenance and repair,Various,Ongoing,SIP 12: Revitalisation of public hospitals and other health facilities,684500000,BR 2019,TRUE,2019,MTEF,50000000,health-non-capital-infrastructure-projects-including-maintenance-national-health-insurance-facilities
National,Health,Social Services,"Non-capital infrastructure projects, including maintenance (national health insurance facilities)","Maintenance, provision of provincial management support units and project management information systems, conditional assessments of facilities in national health insurance scheme pilot districts, in loco supervision, monitoring of 10-year health infrastructure",Various,Maintenance and repair,Various,Ongoing,SIP 12: Revitalisation of public hospitals and other health facilities,684500000,BR 2019,TRUE,2020,MTEF,30000000,health-non-capital-infrastructure-projects-including-maintenance-national-health-insurance-facilities
National,Health,Social Services,"Non-capital infrastructure projects, including maintenance (national health insurance facilities)","Maintenance, provision of provincial management support units and project management information systems, conditional assessments of facilities in national health insurance scheme pilot districts, in loco supervision, monitoring of 10-year health infrastructure",Various,Maintenance and repair,Various,Ongoing,SIP 12: Revitalisation of public hospitals and other health facilities,684500000,BR 2019,TRUE,2021,MTEF,10000000,health-non-capital-infrastructure-projects-including-maintenance-national-health-insurance-facilities
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Durban high court,Expansion of accommodation,"-29.861855, 31.020099",New infrastructure assets,High Court,Design,Not related to SIPs,902659000,BR 2019,TRUE,2015,Audited Outcome,2978000,justice-and-constitutional-development-durban-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Durban high court,Expansion of accommodation,"-29.861855, 31.020099",New infrastructure assets,High Court,Design,Not related to SIPs,902659000,BR 2019,TRUE,2016,Audited Outcome,19608000,justice-and-constitutional-development-durban-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Durban high court,Expansion of accommodation,"-29.861855, 31.020099",New infrastructure assets,High Court,Design,Not related to SIPs,902659000,BR 2019,TRUE,2017,Audited Outcome,27381000,justice-and-constitutional-development-durban-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Durban high court,Expansion of accommodation,"-29.861855, 31.020099",New infrastructure assets,High Court,Design,Not related to SIPs,902659000,BR 2019,TRUE,2018,Adjusted Appropriation,33935000,justice-and-constitutional-development-durban-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Durban high court,Expansion of accommodation,"-29.861855, 31.020099",New infrastructure assets,High Court,Design,Not related to SIPs,902659000,BR 2019,TRUE,2019,MTEF,175910000,justice-and-constitutional-development-durban-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Durban high court,Expansion of accommodation,"-29.861855, 31.020099",New infrastructure assets,High Court,Design,Not related to SIPs,902659000,BR 2019,TRUE,2020,MTEF,180002000,justice-and-constitutional-development-durban-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Durban high court,Expansion of accommodation,"-29.861855, 31.020099",New infrastructure assets,High Court,Design,Not related to SIPs,902659000,BR 2019,TRUE,2021,MTEF,201316000,justice-and-constitutional-development-durban-high-court
National,Police,Economic Services and Infrastructure,Member and office accommodation,Construction of living quarters and offices,"-25.4007, 27.1454",Upgrading and additions,Office accommodation and living quarters,Construction,Not related to SIPs,756079000,BR 2019,TRUE,2015,Audited Outcome,69964000,police-member-and-office-accommodation
National,Police,Economic Services and Infrastructure,Member and office accommodation,Construction of living quarters and offices,"-25.4007, 27.1454",Upgrading and additions,Office accommodation and living quarters,Construction,Not related to SIPs,756079000,BR 2019,TRUE,2016,Audited Outcome,32905000,police-member-and-office-accommodation
National,Police,Economic Services and Infrastructure,Member and office accommodation,Construction of living quarters and offices,"-25.4007, 27.1454",Upgrading and additions,Office accommodation and living quarters,Construction,Not related to SIPs,756079000,BR 2019,TRUE,2017,Audited Outcome,42135000,police-member-and-office-accommodation
National,Police,Economic Services and Infrastructure,Member and office accommodation,Construction of living quarters and offices,"-25.4007, 27.1454",Upgrading and additions,Office accommodation and living quarters,Construction,Not related to SIPs,756079000,BR 2019,TRUE,2018,Adjusted Appropriation,131184000,police-member-and-office-accommodation
National,Police,Economic Services and Infrastructure,Member and office accommodation,Construction of living quarters and offices,"-25.4007, 27.1454",Upgrading and additions,Office accommodation and living quarters,Construction,Not related to SIPs,756079000,BR 2019,TRUE,2019,MTEF,142768000,police-member-and-office-accommodation
National,Police,Economic Services and Infrastructure,Member and office accommodation,Construction of living quarters and offices,"-25.4007, 27.1454",Upgrading and additions,Office accommodation and living quarters,Construction,Not related to SIPs,756079000,BR 2019,TRUE,2020,MTEF,162469000,police-member-and-office-accommodation
National,Police,Economic Services and Infrastructure,Member and office accommodation,Construction of living quarters and offices,"-25.4007, 27.1454",Upgrading and additions,Office accommodation and living quarters,Construction,Not related to SIPs,756079000,BR 2019,TRUE,2021,MTEF,174654000,police-member-and-office-accommodation
National,Police,Economic Services and Infrastructure,Police stations,Construction of new and re-established police stations,"-30.4759, 30.2030",Upgrading and additions,Police stations,Various,Not related to SIPs,4315060000,BR 2019,TRUE,2015,Audited Outcome,516065000,police-police-stations
National,Police,Economic Services and Infrastructure,Police stations,Construction of new and re-established police stations,"-30.4759, 30.2030",Upgrading and additions,Police stations,Various,Not related to SIPs,4315060000,BR 2019,TRUE,2016,Audited Outcome,733288000,police-police-stations
National,Police,Economic Services and Infrastructure,Police stations,Construction of new and re-established police stations,"-30.4759, 30.2030",Upgrading and additions,Police stations,Various,Not related to SIPs,4315060000,BR 2019,TRUE,2017,Audited Outcome,494454000,police-police-stations
National,Police,Economic Services and Infrastructure,Police stations,Construction of new and re-established police stations,"-30.4759, 30.2030",Upgrading and additions,Police stations,Various,Not related to SIPs,4315060000,BR 2019,TRUE,2018,Adjusted Appropriation,605880000,police-police-stations
National,Police,Economic Services and Infrastructure,Police stations,Construction of new and re-established police stations,"-30.4759, 30.2030",Upgrading and additions,Police stations,Various,Not related to SIPs,4315060000,BR 2019,TRUE,2019,MTEF,627552000,police-police-stations
National,Police,Economic Services and Infrastructure,Police stations,Construction of new and re-established police stations,"-30.4759, 30.2030",Upgrading and additions,Police stations,Various,Not related to SIPs,4315060000,BR 2019,TRUE,2020,MTEF,644733000,police-police-stations
National,Police,Economic Services and Infrastructure,Police stations,Construction of new and re-established police stations,"-30.4759, 30.2030",Upgrading and additions,Police stations,Various,Not related to SIPs,4315060000,BR 2019,TRUE,2021,MTEF,693088000,police-police-stations
National,Water and Sanitation,Economic Services and Infrastructure,Calitzdorp and Ladismith W,Upgrading of wastewater treatment works,"-33.517731,21.599253",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,77459000,,TRUE,2015,Audited Outcome,0,water-and-sanitation-calitzdorp-and-ladismith-w
National,Water and Sanitation,Economic Services and Infrastructure,Calitzdorp and Ladismith W,Upgrading of wastewater treatment works,"-33.517731,21.599253",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,77459000,,TRUE,2016,Audited Outcome,0,water-and-sanitation-calitzdorp-and-ladismith-w
National,Water and Sanitation,Economic Services and Infrastructure,Calitzdorp and Ladismith W,Upgrading of wastewater treatment works,"-33.517731,21.599253",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,77459000,,TRUE,2017,Audited Outcome,0,water-and-sanitation-calitzdorp-and-ladismith-w
National,Water and Sanitation,Economic Services and Infrastructure,Calitzdorp and Ladismith W,Upgrading of wastewater treatment works,"-33.517731,21.599253",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,77459000,,TRUE,2018,Adjusted Appropriation,0,water-and-sanitation-calitzdorp-and-ladismith-w
National,Water and Sanitation,Economic Services and Infrastructure,Calitzdorp and Ladismith W,Upgrading of wastewater treatment works,"-33.517731,21.599253",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,77459000,,TRUE,2019,MTEF,15000000,water-and-sanitation-calitzdorp-and-ladismith-w
National,Water and Sanitation,Economic Services and Infrastructure,Calitzdorp and Ladismith W,Upgrading of wastewater treatment works,"-33.517731,21.599253",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,77459000,,TRUE,2020,MTEF,30000000,water-and-sanitation-calitzdorp-and-ladismith-w
National,Water and Sanitation,Economic Services and Infrastructure,Calitzdorp and Ladismith W,Upgrading of wastewater treatment works,"-33.517731,21.599253",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,77459000,,TRUE,2021,MTEF,30000000,water-and-sanitation-calitzdorp-and-ladismith-w
National,Water and Sanitation,Economic Services and Infrastructure,Giyani water services phase 2,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-23.305826,30.726936",Upgrading and additions,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,2754644000,BR 2019,TRUE,2015,Audited Outcome,799829000,water-and-sanitation-giyani-water-services-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Giyani water services phase 2,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-23.305826,30.726936",Upgrading and additions,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,2754644000,BR 2019,TRUE,2016,Audited Outcome,912578000,water-and-sanitation-giyani-water-services-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Giyani water services phase 2,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-23.305826,30.726936",Upgrading and additions,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,2754644000,BR 2019,TRUE,2017,Audited Outcome,633952000,water-and-sanitation-giyani-water-services-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Giyani water services phase 2,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-23.305826,30.726936",Upgrading and additions,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,2754644000,BR 2019,TRUE,2018,Adjusted Appropriation,214500000,water-and-sanitation-giyani-water-services-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Giyani water services phase 2,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-23.305826,30.726936",Upgrading and additions,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,2754644000,BR 2019,TRUE,2019,MTEF,114027000,water-and-sanitation-giyani-water-services-phase-2
